Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
100 [Cent] kilos d'étoiles,"Chambon, Marie-Sophie",Marie-Sophie Chambon ...,2171896,DVD CEN,"Loïs, 16 ans, n'a qu'un rêve depuis toute petite : devenir spationaute... s'envoler loin de cette Terre où elle se sent si étrangère. Mais elle a beau être surdouée en maths et physique, il y a un problème : Loïs pèse 100 kilos... et pas moyen d'échapper à ce truc de famille qui lui colle à la peau. Alors que tout semble perdu, Loïs rencontre Amélie, Stannah, et Justine, trois adolescentes abîmées comme elle par la vie, prêtes à tout pour partir avec elle dans l'espace...",Science-fiction
107 mothers,"Kerekes, Peter",Peter Kerekes ...,2197240,DVD CEN,"Lesya donne naissance à un petit garçon dans la prison pour femmes d'Odessa, en Ukraine. Ici, les prisonnières sont aussi des mères, et leurs enfants peuvent rester avec elles jusqu'à leurs 3 ans. Ensuite, il faut trouver un membre de la famille prêt à les recueillir, ou c'est le placement définitif en orphelinat. A l'approche de l'anniversaire fatidique et sous le regard bienveillant d'Iryna, la gardienne de prison, Lesya tente tout pour ne pas être séparée de son fils...",Drame
11[Onze] minutes,"Skolimowski, Jerzy",Jerzy Skolimowski ...,2177413,DVD ONZ,"Un mari jaloux hors de contrôle, une actrice sexy, un réalisateur carnassier, un vendeur de drogue incontrôlable, une jeune femme désorientée, un ex-taulard devenu vendeur de hot-dog, un laveur de vitres en pause 5 à 7, un peintre âgé, un étudiant qui a une mission secrète, une équipe d'auxiliaires médicaux sous pression et un groupe de nonnes affamées. 11 moments de vie de citadins contemporains qui vont s'entrecroiser et s'entrelacer. En bonus : Masterclass cinémathèque, galerie de photos, bio-filmographie du réalisateur, bande-annonce.",Drame
12 [Douze] hommes en colère,"Lumet, Sidney",Sidney Lumet ...,2089792,DVD DOU,"Lumet, réalisateur de télévision, accède au monde du cinéma grâce à ce film exemplaire qui est aussi un réquisitoire contre la peine de mort.",Drame
12 [Twelve] Years A Slave,"Mcqueen, Steve (1969 - ...)",Steve Mcqueen ...,2131750,DVD TWE,"Solomon Northup, jeune homme noir originaire de New York, est enlevé et vendu comme esclave. Pendant douze ans, il se battra pour sa vie et sa dignité avant de rencontrer un abolitionniste canadien... Une oeuvre forte et pleinement maîtrisée, d'un réalisme criant...",Drame
120 [cent vingt] battements par minute,"Campillo, Robin (1962 - ...)",Robin Campillo ...,2157837,DVD CEN,"Début des années 1990. Alors que le sida tue depuis près de dix ans, les militants d'Act Up-Paris multiplient les actions pour lutter contre l'indifférence générale. Nouveau venu dans le groupe, Nathan va être bouleversé par la radicalité de Sean.Commentaire audio de Robin Campillo, essais des acteurs / répétition de la chorégraphie, bande-annonce.",Expérimental
12h08 à l'est de Bucarest,"Porumboiu, Corneliu",Corneliu Porumboiu ...,2111803,DVD DOU,Une petite ville de province : le patron de la télévision locale profite des fêtes de fin d'année pour confronter ses concitoyens à leur propre histoire. Un premier film audacieux et prometteur.,Drame
16 ans,"Lioret, Philippe (1955 - ...)",Philippe Lioret ...,2197476,DVD SEI,"Nora et Léo se rencontrent le jour de la rentrée en classe de Seconde. Leurs regards s'enchâssent et tout est dit. Le frère de Nora, manutentionnaire à l'hypermarché local, est accusé de vol et viré sur-le-champ. Le directeur de l'hypermarché c'est Franck, le père de Léo. Les deux familles s'affrontent, les différences s'exacerbent et le chaos s'installe. Les vies de Nora et Léo s'embrasent.",Drame
17 [Dix sept] filles,"Coulin, Murielle","Murielle Coulin, Delphine Coulin ...",2139290,DVD DIX,"Dix-sept adolescentes d'un même lycée prennent ensemble une décision étonnante, celle de tomber enceintes en même temps. Un premier film social, romantique et naturaliste sur le mystère de l'adolescence...",Policier et espionnage
2 automnes 3 hivers,"Betbeder, Sébastien",Sébastien Betbeder ...,2147171,DVD DEU,"A 33 ans, Arman a décidé de changer de vie. Pour commencer, il court. C'est un bon début. Amélie poursuit la sienne (de vie) et court, elle aussi. La première rencontre est un choc. La seconde sera un coup de couteau en plein coeur. Chroniques intimistes d'une génération désenchantée. Du cinéma d'auteur populaire.",Fantasy / Merveilleux
200 [deux cents] mètres,"Nayfeh, Ameen",Ameen Nayfeh ...,2195030,DVD DEU,"Mustafa d'un côté, Salwa et les enfants de l'autre, une famille vit séparée de chaque côté du mur israélien à seulement 200 mètres de distance. Ils résistent au quotidien avec toute la ruse et la tendresse nécessaires pour ""vivre"" comme tout le monde, quand un incident grave vient bouleverser cet équilibre éphémère. Pour retrouver son fils blessé de l'autre côté, le père se lance dans une odyssée à travers les checkpoints, passager d'un minibus clandestin où les destins de chacun se heurtent aux entraves les plus absurdes.",Expérimental
2046,"Wong, Kar-wai",Kar-wai Wong ...,2053753,DVD DEU,"Hong Kong, 1966. Dans sa petite chambre d'hôtel, Chow Mo Wan, écrivain en mal d'inspiration, tente de finir un livre de science-fiction situé en 2046... Le nouvel élixir du maître",Science-fiction
"24 jours, la vérité sur l'affaire Ilan Halimi","Arcady, Alexandre (1947 - ...)",Alexandre Arcady ...,2134703,DVD VIN,"Tout commence le 20 janvier 2006. Le dîner de shabbat s'achève. Ilan a choisi de sortir ce soir-là malgré les réticences de sa mère. En refermant la porte de l'appartement, il lui adresse un baiser pour la réconforter. Ce sera le dernier. Elle ne le reverra jamais. Le récit des 24 jours qui suivent cette scène est une plongée dans la nuit d'un jeune homme enlevé et pris en otage parce qu'il est juif. ? travers les messages de ses ravisseurs, se dessine, jour après jour, son calvaire. C'est aussi l'histoire d'une mère et d'une famille qui vivent entre attente et désespoir au rythme des messages des bourreaux d'Ilan... Un thriller bouleversant...",Thriller
3 [three] billboards - Les panneaux de la vengeance,"McDonagh, Martin",Martin McDonagh ...,2158491,DVD THR,"Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.Oscars de la meilleure actrice (Frances McDormand) et du meilleur acteur dans un second rôle (Sam Rockwell), Etats-Unis, 2018, BAFTA Awards du meilleur film, du meilleur scénario original et de la meilleure actrice (Frances McDormand), Grande-Bretagne, 2018, Prix de de la meilleure actrice (Frances McDormand), du meilleur acteur dans un second rôle (Sam Rockwell) et du meilleur ensemble d'acteurs aux Screen actors guild Awards, Etats-Unis, 2018, Golden Globes du meilleur film dramatique, du meilleur scénario, de la meilleure actrice (Frances McDormand) et du meilleur acteur dans un second rôle (Sam Rockwell), Etats-Unis, 2018, Osella du meilleur scénario à la Mostra de Venise, Italie, 2017",Policier et espionnage
35 [Trente cinq] rhums,"Denis, Claire (1946 - ...)",Claire Denis ...,2107702,DVD TRE,"La relation fusionnelle qui unit une jeune fille à son père. Le temps passe, la jeune fille devenue femme s'émancipe. Un poème urbain mélancolique et émouvant, filmé et incarné avec grâce.",Drame
"4 Mois, 3 semaines, 2 jours / Les Contes de l'Age d'or","Mungiu, Cristian",Cristian Mungiu,2112887,DVD QUA,"Deux films, l'un dramatique et l'autre comique pour dépeindre la Roumanie sous Ceausescu par un cinéaste de talent.",Drame
45 [Quarante cinq] ans,"Haigh, Andrew",Andrew Haigh ...,2142529,DVD QUA,"Kate et Geoff Mercer sont sur le point d'organiser une grande fête pour leur quarante-cinquième anniversaire de mariage. Pendant ces préparatifs, Geoff reçoit une nouvelle : le corps de Katya, son premier grand amour, disparu cinquante ans auparavant dans les glaces des Alpes, vient d'être retrouvé. Cette nouvelle va alors bouleverser le couple et modifier doucement le regard que Kate porte sur son mari...","Romance, sentimental"
5 [Cinq] est le numéro parfait,Igort (1958 - ...),Igort ...,2177618,DVD CIN,"Peppino Lo Cicero, ex-tueur à gages de la Camorra est fier de son fils qui gravit les échelons du crime organisé. Mais quand celui-ci est froidement tué dans un guet-apens, il reprends du service accompagné de son ami Toto le boucher. Le ur quête de vérité va déclencher une spirale de vengeances et de trahisons dans les clans mafieux du Naples des années 70.",Policier et espionnage
